name,handle
Suzy Khimm ,@SuzyKhimm
Jake Tapper ,@jaketapper
McClatchy DC ,@McClatchyDC
Wonkette ,@Wonkette
NASA,@nasa
US Senate,@senatus
PolitiFact ,@politifact
Cook Political Report ,@CookPolitical
Liz Mair ,@LizMair
Larry Sabato ,@LarrySabato
David Wasserman ,@Dave_Wasserman
Ana Marie Cox ,@anamariecox
Sam Graham-Felsen ,@samgf
Donna Brazile ,@donnabrazile
Chuck Todd ,@chucktodd
Christina Bellantoni ,@cbellantoni
Nico Pitney ,@nicopitney
Glenn Greenwald ,@ggreenwald
The Wonk Room ,@wonkroom
Steve Benen ,@stevebenen
Mark Hemingway ,@Heminator
Nate Silver ,@fivethirtyeight
Mark Blumenthal ,@MysteryPollster
Stanislas Wawrinka,@stanwawrinka
Greta Thunberg ,@GretaThunberg
Alesso ,@Alesso
Swedish House Mafia,@swedishousemfia
Tim Bergling,@Avicii
Sebastian Ingrosso,@Ingrosso
Steve Angello,@SteveAngello
Sergio Ramos,@SergioRamos
Enrique Iglesias,@enriqueiglesias
Pavel Volya,@RealVolya
Alex Ovechkin,@ovi8
Tina Kandelaki,@tina_kandelaki
Daniel Padilla,@imdanielpadilla
Bianca Gonzalez,@iamsuperbianca
MAJOR LAZER,@MAJORLAZER
Bob Marley,@bobmarley
Sean Paul,@duttypaul
Avril Lavigne,@AvrilLavigne
sunnyleone,@SunnyLeone
Mohamed Salah,@MoSalah
Amr Diab,@amrdiab
Bassem Youssef,@Byoussef
Amr Khaled,@amrkhaled
Mohamed Henedy,@OfficialHenedy
Mustafa Hosny ,@MustafaHosny
Donia Samir Ghanem,@Donia
Lay Zhang,@layzhang
David Guetta,@davidguetta
Paul Pogba,@paulpogba
Basti Schweinsteiger,@BSchweinsteiger
Manuel Neuer,@Manuel_Neuer
Cinta Laura Kiehl,@xcintakiehlx
Dirk Nowitzki,@swish41
Hitoshi Matsumoto,@matsu_bouzu
Paulina Rubio,@PaulinaRubio
Robert Lewandowski,@lewy_official
Dave Portnoy,@stoolpresidente
Big Cat,@barstoolbigcat
KFC,@KFCBarstool
Feitelberg,@FeitsBarstool
Chaps,@unclechaps
Maria Ciuffo,@barstoolria
PFT Commenter,@pftcommenter
Alexandra Cooper,@alexandracooper
Billy Football,@billyhottakes
Paul Bissonnette,@BizNasty2point0
Francesca Mariano,@barstoolfran
Mike Grinnell,@MikeGrinnell_
Ryan Whitney,@ryanwhitney6
Taylor Lewan,@taylorlewan77
Will Compton,@_willcompton
Erika Nardini,@EKANardini
Matthew Yglesias,@mattyglesias
Ben Shapiro,@benshapiro
Matt Walsh,@mattwalshblog
Chris Hayes,@chrislhayes
Noam Blum,@neontaster
Elon Musk,@elonmusk
Odell Beckham Jr.,@OBJ_3
Sydney Leroux,@sydneyleroux
Bobby Ryan,@b_ryan9
Josh Donaldson,@BringerOfRain20
Floyd Mayweather,@FloydMayweather
Danica Patrick,@DanicaPatrick
Roger Federer,@rogerfederer
JJ Watt,@JJWatt
Lindsey Vonn,@lindseyvonn
DeAndre Jordan,@deandrejordan6
Blake Griffin,@blakegriffin32
Chris Paul,@CP3
Richard Sherman,@RSherman_25
Genie Bouchard,@geniebouchard
Conor McGregor,@TheNotoriousMMA
Joel Embiid,@JoelEmbiid
LeBron James,@KingJames
Dwayne ÒThe RockÓ Johnson,@therock
Ty Hilton,@TYHilton13
Von Miller,@VonMiller
Mike Tomlin,@CoachTomlin
Jonathan Bostic,@JonBostic
Mike Leach,@MikeLeach82
Donald Penn,@DPENN70
Allen Robinson Ii,@AllenRobinson
Baseball Knowing King Chris Long,@JOEL9ONE
Tyrann Mathieu,@Mathieu_Era
Deandre Hopkins,@DeAndreHopkins
Tavon Austin,@Tayaustin01
Sharrif Floyd,@sharriffloyd
Deangelo Williams,@DeAngeloRB
Freybird ,@jeffdemps7
Donald Brown,@Donaldb31
Kraig Urbik,@kraigurbik
Vick Ballard,@VickBallard
Ben Garland,@BenGarland63
Martellus Bennett,@MartysaurusRex
Zac Robinson,@zac_robinson
Vontaze Burfict,@King55Tez
Jordy Nelson,@JordyRNelson
Brandon Jacobs,@BrandonJacobs27
